Tornado ID,Time,Latitude,Longitude,Fujita scale,Damage total,Comments,,,,,,,,
1087,2010-02-16 06:00:00,-17.3600,145.5900,0,,Tornado (landspout) observed at Malanda (southeast of Atherton) at around 4pm AEST (time estimated from radar). Media articles write of a pile of tractor tyres being thrown around 100 metres in the air.,,,,,,,,
1090,2010-02-04 05:45:00,-30.5151,151.6650,0,,Funnel cloud seen from a distance of about 7km on northern edge of a small storm cell forming. Funnel cloud reported viewed from a distance to the west of Armidale on 4/2/10. No damage reported.,,,,,,,,
1091,2010-06-02 21:30:00,-28.7984,153.5845,1,,"Tornado associated with a supercell thunderstorm formed over water then moved over land at Lennox Head, causing severe damage to many homes and overturning caravans at the caravan park at about 7:30am on 3/6/10 (local time). Up to 6 people reported injured, 2 requiring hospitalisation. Widespread media coverage with video footage and damage photos on media websites. Supercell thunderstorm and associated tornado developed near Lennox Head early on the morning of 3/6/10, storm tracked north to Byron bay then turned offshore.",,,,,,,,
1094,2010-02-27 05:15:00,-36.3632,144.6995,0,,Clyve Herbert and Jane O'Neill reportedly captured 2 tornadoes on video to the SE of Rochester. NULL,,,,,,,,
1097,2010-09-13 05:48:00,-36.3560,141.3433,0,,Photos sent in by storm spotter of funnel cloud in the Miram/Diapur area. Does not appear to touch the ground in any of the photos. NULL,,,,,,,,
1098,2010-08-10 06:30:00,-36.0985,144.7513,0,,"Photo evidence of a funnel cloud extending from the cloud base.  Reports of roofs off at least one house.  Lots of low level shear was present and tornadoes were possible.  Radar cell ~16:15 local, media report suggested 5pm.  No conclusive proof, but an F0/F1 tornado looks very possible. NULL",,,,,,,,
1101,2010-05-22 12:00:00,-33.0778,115.8944,0,,"A stormspotter reportedly sighted the tornado. Direction of path was from west to east with a length of 2km. The spotter reported tree branches snapped, trees uprooted, roofing tiles lifted and damage to buildings. The passage of a deep low and associated cold front across the SWLD produced some damage around Harvey where a possible tornado occurred.",,,,,,,,
1102,2010-05-26 22:00:00,-32.2814,115.7269,0,,"An eyewitness reported seeing the tornado shortly after 10pm on the 26th from his property on Bibanup Court, Hillman. He reported a general west to east track with a speed approximately 30-40 km/h. A cold front moved through the SWLD late on the 26th with a secondary front on the 27th. SES received a total of 64 calls for assistance from across the metropolitan area over a 12 hour period.",,,,,,,,
1103,2010-07-08 22:00:00,-32.0486,115.9208,0,,A suspected weak tornado at 10pm Thursday night caused a narrow trail of damage in Perth's southern suburb of Parkwood including the felling of a large tree that fell on a house trapping a man who required hospitalisation. A front and significant cold pool caused widespread severe winds across the SWLD and Goldfields.,,,,,,,,
1104,2010-07-09 14:00:00,-32.5294,115.7233,0,,suspected tornado in the cold pool caused a trail of damage in Dudley Park adn Coodanup in Mandurah at about 2pm Friday. A front and significant cold pool caused widespread severe winds across the SWLD and Goldfields.,,,,,,,,
1110,2011-02-28 08:15:00,-31.9652,141.4513,0,,"Rope column shape, extending from cloud base to ground. Well defined, rotation evident; howling noise heard, debris churned up at the ground. Small size.%D Huge trees toppled over. Rooves torn off, fences down NULL",,,,,,,,
1111,2010-12-08 02:05:00,-31.9652,141.4513,0,,Funnel developed 1305-125 local. Remained about 60 metres above ground. Very violent thunderstorm with strong wind gusts. No hail observed at observation site. Storm lasted 45 minutes NULL,,,,,,,,
1112,2010-11-23 07:30:00,-20.7307,143.1426,0,,Possible tornado at Richmond around 5:00pm AEST. No damage reported. ABC radio media report of a tornado touchdown at Richmond. Satellite confirms anomalous moving TS over area between 5:30pm and 6:30pm.,,,,,,,,
1113,2010-12-01 02:38:00,-31.4985,145.8346,0,,"Bureau's Cobar observer thought he saw a 1/2 funnel cloud"" out of the bottom of a CB - it didn't reach the ground and he wasn't positive it even was one"," but could have been - very brief - but thought he saw rotation. NULL""",,,,,,,
1114,2010-12-25 01:00:00,-21.3000,149.2000,1,,"Tornado observed near Alligator Creek (south of Mackay) around 11am AEST. Media images showed bits of roofing removed from at least two houses and numerous branches broken off trees. Reported tornado at Alligator Creek between 10am and 11am. Media reports of damage support this, with photos.",,,,,,,,
1115,2011-01-19 07:20:00,-29.6484,152.8011,0,,Small tornado(s) momentarily touching down.  Roaring sound and debris being flung against the side of the house. NULL,,,,,,,,
1116,2010-08-10 00:00:00,-36.1298,144.7508,0,,Photographs show tornado touching ground with air-born debris. Tornado observed near Echuca/Moama with photographic evidence in media.,,,,,,,,
1117,2011-02-03 07:20:00,-36.9015,143.9795,0,,Over 50 very large trees down on Bridgewater-Maldon Rd between Kellys Rd and Shelbourne Rd. Roads blocked to traffic. Power outage until 1415UTC 03/02/2011. NULL,,,,,,,,
1118,2011-02-04 05:00:00,-37.8436,144.9740,0,,Funnel cloud reported over Melbourne area. Preliminary radar data suggests left moving supercell over bay. Funnel Cloud.,,,,,,,,
1119,2010-10-06 04:30:00,-36.7924,143.5519,0,,Tornado touchdown north of Bealiba. Tornado,,,,,,,,
1120,2010-11-07 05:05:00,-37.4248,144.5612,0,,Cell appears to have dropped a tornado SW of Macedon. NULL,,,,,,,,
1121,2011-02-04 06:22:00,-36.3613,144.6985,0,,"Funnel not reaching the ground, although spotter noted that it may have reached the ground at one point. Photographic evidence provided via email. NULL",,,,,,,,
1122,2011-02-28 08:36:00,-31.9652,141.4513,0,,"6am Synop for Broken Hill on the 1st March reports tornado the previous evening Feb 28th at 19:06pm local.  Broken Hill is UTC  9:30.  So UTC time of event was 08:36Z. ""Considerable damage"" reported. NULL",,,,,,,,
1123,2011-05-23 09:30:00,-25.5200,152.6800,0,,Possible tornado in Maryborough around 7:30pm AEST. Media images indicated that sheds had been blown over and some large trees with shallow roots had fallen. NULL,,,,,,,,
1127,2010-10-02 06:00:00,-35.3317,148.8012,0,,Weatherzone forum posts pictures of a funnel cloud over the Brindebella ranges about 4pm. NULL,,,,,,,,
1130,2010-09-04 07:00:00,-37.2160,145.1053,0,,Spotter observed funnel cloud. Sent in photo of trees uprooted. Investigation of radar indicates tornado was likely due to low-level vorticity as no meso-cyclone evident on radar. NULL,,,,,,,,
1135,2011-02-11 08:30:00,-12.9000,132.5167,0,,"Tornado reported in NT News. Excellent video footage filmed at about 6:00 pm (CST) by David Chemello, Gagudju Dreaming Tour Guide with one video of 23 seconds and part 2 of the video lasting 50 seconds. Unfortunately, no doppler data available to verify if radar (velocity) signature was consistent as Cooinda is within Tindal radar range. NULL",,,,,,,,
1165,2011-01-12 01:20:00,-12.9000,131.1900,0,,"Tornado was not observed by anyone. It was inferred using Berrimah Doppler radar in association with observed damage reports from the area by local residents and BoM meteorologists. Observed damage included significant amount of felled banana trees (80% crop damage) with healthy trunks snapped, some 40cm in diameter, while others uprooted. Reports of sounds of a jet engine"" from local residents. Similar damage reports at two other locations upstream from Lake Bennett near Manton Dam and Darwin River Dam. Total path length approximately 50km. NULL""",,,,,,,,
1188,2011-10-29 23:13:00,-30.6317,150.6678,0,,Tornado touched the ground briefly. Maximum wind gust of at least 100 km/hr. NULL,,,,,,,,
1189,2011-11-08 01:20:00,-36.9151,149.2346,0,,Report of roof damage (roof blown off house) at Bombala by SES. Confirmation of tornado at Bombala from Weatherzone forum and online news pictures.  NULL,,,,,,,,
1190,2011-10-01 13:45:00,-37.0561,146.0867,0,,NULL Tornado near Mansfield,,,,,,,,
1191,2011-10-28 07:00:00,-37.6604,145.3731,0,,Funnel cloud / possible tornado near Yarra Glen. Flanking Line and Wall Cloud reported. Multiple phenomena associated with discrete cells organised along a trough of low pressure.,,,,,,,,
